frame,time(ms),roll,pitch,yaw,gx,gy,gz,ax,ay,az,vn,ve,vd,high,b_high,lat,long,g_h,vx,vy,vz,sonar,wp_id,pwm0,pwm1,pwm2,pwm3,pwm4,pwm5,pwm6,pwm7,pwm8,pwm9,fly_status,gps_s,imu_s,cpu_s,voltage,engine,cpu_t,rsv
1,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.537500,0,39,0
2,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
3,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
4,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,40,0
5,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.537500,0,39,0
6,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
7,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,38,0
8,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
9,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,40,0
10,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
11,866122,-0.044197,-0.169850,2.085439,0.003749,0.001819,0.010125,-1.692583,0.477254,-9.674352,1333788672.000000,1333788672.000000,1333788672.000000,1271792256.000000,1181196288.000000,116.260592,40.161384,58.628709,-0.167527,0.146252,0.009994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.679297,0,39,0
